Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"95865000","0","3282","12.4"
"96074000","0","3283","12.4"
"96284000","0","3283","12.4"
"96693000","0","3282","12.4"
"96960000","0","3282","12.4"
"97176000","0","3282","12.7"
"97385000","0","3282","12.7"
"97594000","0","3282","12.7"
"98002000","0","3282","12.7"
"98269000","0","3282","12.7"
"98479000","0","3282","12.7"
"98689000","0","3283","12.7"
"98899000","0","3282","12.7"
"99306000","0","3282","13.0"
"99575000","0","3282","13.0"
"99784000","0","3282","13.0"
"99993000","0","3283","13.0"
"100204000","0","3283","13.0"
"100611000","0","3283","13.0"
"100879000","0","3283","13.0"
"101089000","0","3283","13.0"
"101299000","0","3282","13.0"
"101508000","0","3282","13.0"
"101915000","0","3282","13.3"
"102183000","0","3282","13.3"
"102393000","0","3282","13.3"
"102603000","0","3282","13.3"
"102812000","0","3283","13.3"
"103220000","0","3283","13.3"
"103487000","0","3283","13.3"
"103697000","0","3282","13.3"
"103907000","0","3282","13.3"
"104117000","0","3283","13.6"
"104525000","0","3283","13.6"
"104793000","0","3283","13.6"
"105004000","0","3283","13.6"
"105214000","0","3283","13.6"
"105423000","0","3283","13.6"
"105831000","0","3283","13.6"
"106099000","0","3283","13.6"
"106307000","0","3283","13.9"
"106517000","0","3283","13.9"
"106728000","0","3283","13.9"
"107198000","0","3283","13.9"
"107408000","0","3283","13.9"
"107617000","0","3283","13.9"
"107827000","0","3283","13.9"
"108038000","0","3283","13.9"
"108446000","0","3283","14.2"
"108712000","0","3283","14.2"
"108922000","0","3283","14.2"
"109132000","0","3283","14.2"
"109342000","0","3283","14.2"
"109749000","0","3283","14.2"
"110017000","0","3283","14.2"
"110229000","0","3283","14.2"
"110437000","0","3283","14.2"
"110648000","0","3283","14.2"
"111056000","0","3283","14.4"
"111324000","0","3283","14.4"
"111534000","0","3283","14.4"
"111744000","0","3283","14.4"
"111954000","0","3283","14.4"
"112362000","0","3283","14.4"
"112629000","0","3283","14.4"
"112839000","0","3283","14.4"
"113049000","0","3283","14.7"
"113258000","0","3283","14.7"
"113665000","0","3283","14.7"
"113932000","0","3283","14.7"
"114143000","0","3283","14.7"
"114352000","0","3283","14.7"
"114562000","0","3283","14.7"
"114970000","0","3283","14.7"
"115238000","0","3283","14.7"
"115447000","0","3283","15.0"
"115658000","0","3283","15.0"
"115867000","0","3283","15.0"
"116275000","0","3283","15.0"
"116543000","0","3283","15.0"
"116752000","0","3283","15.0"
"116963000","0","3283","15.0"
"117178000","0","3283","15.0"
"117586000","0","3283","15.3"
"117854000","0","3283","15.3"
"118064000","0","3283","15.3"
"118273000","0","3283","15.3"
"118483000","0","3283","15.3"
"118890000","0","3283","15.3"
"119158000","0","3283","15.3"
"119368000","0","3283","15.3"
"119578000","0","3283","15.3"
"119788000","0","3283","15.3"
"120196000","0","3283","15.6"
"120464000","0","3283","15.6"
"120674000","0","3283","15.6"
"120883000","0","3283","15.6"
"121093000","0","3283","15.6"
"121500000","0","3283","15.6"
"121710000","0","3283","15.6"
"121977000","0","3283","15.6"
"122187000","0","3283","15.9"
"122396000","0","3283","15.9"
"122805000","0","3283","15.9"
"123072000","0","3283","15.9"
"123282000","0","3283","15.9"
"123493000","0","3283","15.9"
"123703000","0","3283","15.9"
"124110000","0","3283","15.9"
"124377000","0","3283","15.9"
"124586000","0","3283","16.2"
"124796000","0","3283","16.2"
"125006000","0","3283","16.2"
"125413000","0","3283","16.2"
"125681000","0","3283","16.2"
"125892000","0","3283","16.2"
"126102000","0","3283","16.2"
"126312000","0","3283","16.5"
"126720000","0","3283","16.5"
"126987000","0","3283","16.5"
"127203000","0","3283","16.5"
"127413000","0","3283","16.5"
"127623000","0","3283","16.5"
"128032000","0","3283","16.5"
"128299000","0","3283","16.5"
"128509000","0","3283","16.5"
"128719000","0","3283","16.8"
"128929000","0","3283","16.8"
"129337000","0","3283","16.8"
"129605000","0","3283","16.8"
"129815000","0","3283","16.8"
"130024000","0","3283","16.8"
"130234000","0","3283","16.8"
"130641000","0","3283","16.8"
"130908000","0","3283","17.1"
"131119000","0","3283","17.1"
"131329000","0","3283","17.1"
"131539000","0","3283","17.1"
"131946000","0","3283","17.1"
"132214000","0","3283","17.1"
"132424000","0","3283","17.1"
"132634000","0","3283","17.1"
"132844000","0","3283","17.1"
"133251000","0","3283","17.3"
