Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"78606000","189900","3283","49.9"
"78816000","189900","3283","49.9"
"79026000","189900","3283","50.2"
"79236000","189900","3283","50.2"
"79644000","189900","3283","50.6"
"79918000","189900","3283","50.6"
"80128000","189900","3283","51.0"
"80339000","189900","3283","51.0"
"80549000","189900","3283","51.0"
"80957000","189900","3283","51.3"
"81225000","189900","3283","51.3"
"81448000","189900","3283","51.7"
"81658000","189900","3283","51.7"
"81868000","189900","3283","51.7"
"82275000","189900","3283","52.1"
"82544000","189900","3283","52.5"
"82753000","189900","3283","52.5"
"82963000","189900","3283","52.5"
"83173000","189900","3283","52.8"
"83580000","189900","3283","52.8"
"83848000","189900","3283","53.2"
"84058000","189900","3283","53.2"
"84268000","189900","3283","53.2"
"84478000","189900","3283","53.6"
"84886000","189900","3283","54.0"
"85155000","189900","3283","54.0"
"85365000","189900","3283","54.0"
"85575000","189900","3283","54.3"
"85785000","189900","3283","54.3"
"86192000","189900","3283","54.7"
"86460000","189900","3283","54.7"
"86670000","189900","3283","55.1"
"86880000","189900","3283","55.1"
"87089000","189900","3283","55.1"
"87497000","189900","3283","55.4"
"87765000","189900","3283","55.4"
"87975000","189900","3283","55.8"
"88186000","189900","3283","55.8"
"88396000","189900","3283","56.2"
"88803000","189900","3283","56.2"
"89070000","189900","3283","56.6"
"89280000","189900","3283","56.6"
"89490000","189900","3283","56.6"
"89701000","189900","3283","56.9"
"90114000","189900","3283","57.3"
"90382000","189900","3283","57.3"
"90591000","189900","3283","57.3"
"90802000","189900","3283","57.7"
"91011000","189900","3283","57.7"
"91418000","189900","3283","58.1"
"91686000","189900","3283","58.1"
"91897000","189900","3283","58.4"
"92107000","189900","3283","58.4"
"92316000","189900","3283","58.4"
"92724000","189900","3283","58.8"
"92992000","189900","3283","58.8"
"93202000","189900","3283","59.2"
"93411000","189900","3283","59.2"
"93621000","189900","3283","59.2"
"94029000","189900","3283","59.5"
"94297000","189900","3283","59.9"
"94506000","189900","3283","59.9"
"94717000","189900","3283","59.9"
"94926000","189900","3283","60.3"
"95333000","189900","3283","60.3"
"95602000","189900","3283","60.7"
"95812000","189900","3283","60.7"
"96022000","189900","3283","60.7"
"96232000","189900","3283","61.0"
"96640000","189900","3283","61.0"
"96906000","189900","3283","61.4"
"97116000","189900","3283","61.4"
"97326000","189900","3283","61.8"
"97537000","189900","3283","61.8"
"97945000","189900","3283","62.2"
"98213000","189900","3283","62.2"
"98423000","189900","3283","62.2"
"98633000","189900","3283","62.5"
"98842000","189900","3283","62.5"
"99250000","189900","3283","62.9"
"99517000","189900","3283","62.9"
"99732000","189900","3283","63.3"
"99941000","189900","3283","63.3"
"100152000","189900","3283","63.3"
"100559000","189900","3283","63.6"
"100827000","189900","3283","63.6"
"101037000","189900","3283","64.0"
"101247000","189900","3283","64.0"
"101457000","189900","3283","64.0"
"101865000","189900","3283","64.4"
"102133000","189900","3283","64.4"
"102344000","189900","3283","64.8"
"102554000","189900","3283","64.8"
"102763000","189900","3283","64.8"
"103171000","189900","3283","65.1"
"103440000","189900","3283","65.5"
"103649000","189900","3283","65.5"
"103859000","189900","3283","65.5"
"104069000","189900","3283","65.9"
"104476000","189900","3283","65.9"
"104744000","189900","3283","66.2"
"104954000","189900","3283","66.2"
"105164000","189900","3283","66.6"
"105373000","189900","3283","66.6"
"105780000","189900","3283","67.0"
"106049000","189900","3283","67.0"
"106259000","189900","3283","67.0"
"106469000","189900","3283","67.4"
"106679000","189900","3283","67.4"
"107087000","189900","3283","67.7"
"107354000","189900","3283","67.7"
"107566000","189900","3283","68.1"
"107775000","189900","3283","68.1"
"107984000","189900","3283","68.1"
"108391000","189900","3283","68.5"
"108659000","189900","3283","68.9"
"108868000","189900","3283","68.9"
"109077000","189900","3283","68.9"
"109287000","189900","3283","69.2"
"109695000","189900","3283","69.2"
"109968000","189900","3283","69.6"
"110178000","189900","3283","69.6"
"110389000","189900","3283","70.0"
"110599000","189900","3283","70.0"
"111006000","189900","3283","70.4"
"111274000","189900","3283","70.4"
"111484000","189900","3283","70.4"
"111694000","189900","3283","70.7"
"111904000","189900","3283","70.7"
"112369000","189900","3283","71.1"
"112580000","189900","3283","71.1"
"112790000","189900","3283","71.5"
"113001000","189900","3283","71.5"
"113210000","189900","3283","71.5"
"113617000","189900","3283","71.8"
"113885000","189900","3283","71.8"
"114096000","189900","3283","72.2"
"114305000","189900","3283","72.2"
"114515000","189900","3283","72.2"
"114924000","189900","3283","72.6"
"115191000","189900","3283","73.0"
"115402000","189900","3283","73.0"
"115612000","189900","3283","73.0"
"115822000","189900","3283","73.3"
"116229000","189900","3283","73.3"
"116497000","189900","3283","73.7"
"116707000","189900","3283","73.7"
"116917000","189900","3283","73.7"
"117127000","189900","3283","74.1"
"117535000","189900","3283","74.1"
"117801000","189900","3283","74.4"
"118012000","189900","3283","74.4"
